propertyImmoCode,provinceCode,postalCode,salePrice,propertyType,propertySubtype,buildingCondition,propertySurface,landSurface,constructionYear,EPC,floors,facades,rooms,bedrooms,bathrooms,showerrooms,kitchenSurface,atticSurface,basementSurface,livingroomSurface,diningroomSurface,gardenSurface,terraceSurface,hasSwimmingpool
10163165,VOV,9300,365379,2,,2,,,2022,,,2,,3,1,0,,,5,,,,15,
10163160,WNA,5300,149000,2,15,1,71,,,476,,,7,1,,1,,,3,29,,,,
10082696,VWV,8550,120000,1,,6,,644,,,,3,,3,,0,,,,,,,,
10163158,VBR,1703,449000,1,11,,238,734,1971,375,,4,,3,1,0,12,,91,35,,,,
10163157,WHT,6032,170000,1,,,,0,,365,,,,3,,0,,,,,,,,
10163156,VAN,2570,110000,1,,6,,67,1919,909,,2,,3,1,0,,1,,1,1,,,
10163154,WHT,7500,230000,1,,5,,0,1935,527,,3,,3,1,0,,1,1,1,1,,,
10163153,VOV,9992,460000,1,11,,,3000,,445,,,,4,,0,,,1,,,,,
10163152,WBR,1350,295000,1,,1,126,830,1969,587,,4,,4,1,0,8,13,20,35,,745,20,
10163142,VOV,9300,399496,2,,2,108,,2022,,,3,,2,1,0,,,5,,,,23,
10163140,BBR,1080,189000,2,,,65,,,218,7,2,,1,1,0,7,,,,,,,
10163110,VAN,2260,295000,1,,,143,618,1980,426,,3,,2,1,0,,,,,,,,
10163068,VAN,2610,420000,1,,1,200,207,1959,180,,2,,4,2,0,20,,1,30,,,,
10163066,BBR,1030,260000,2,19,2,67,,2015,138,7,2,,1,1,1,,,,,,,27,
10163064,VWV,8870,249750,1,,1,186,296,,284,,,,3,,0,,,1,,,1,1,
10049489,VAN,2550,194000,2,,,64,,1937,495,1,,,2,1,0,6,,1,,,,,
10163061,VOV,9700,329000,2,,1,150,,2009,140,1,4,,3,1,0,,,,59,,,25,
10163060,WLX,6830,305000,1,8,2,338,111,,252,,2,,4,1,1,,1,1,,,,,
10134442,VAN,2200,275000,2,,2,100,,2000,,,,,2,1,0,8,,1,43,,50,8,
10163059,WLG,4400,175000,1,,5,138,0,,535,,3,,3,1,0,10,,1,15,1,95,40,
10070703,WHT,7134,219000,1,,1,,0,,409,,4,,4,1,1,,,1,,,,1,
10063363,BBR,1020,390000,1,8,5,215,70,1930,,,2,,3,2,0,20,,1,27,,,,
10163058,VOV,9100,340000,1,,4,132,125,,246,,2,3,3,2,0,15,,,31,1,,35,
10163057,WHT,7860,165000,1,,6,,232,,758,,2,,3,1,0,,1,1,1,1,,,
10127247,BBR,1190,650000,1,,,406,60,,,,2,,7,3,0,,,100,1,1,60,60,
10111189,VAN,2850,250000,1,,1,150,145,1930,395,,3,,3,1,0,12,,20,24,1,,30,
10163055,WLG,4100,115000,1,,6,120,110,,506,,3,,4,1,1,15,1,20,14,1,40,,
10163054,BBR,1030,1795000,1,8,6,1500,450,1899,388,,2,,39,15,1,,,1,60,,,,
10001777,WHT,7322,100000,1,,,100,1432,,,,4,,0,,0,,,,1,,,,
10163052,VWV,8434,72000,2,18,1,27,,1966,228,6,2,,0,1,0,,,,,,,,
10163051,WHT,7061,275000,1,,,143,485,,406,,2,,2,1,0,,,,46,1,210,20,
10163050,WHT,7012,75000,1,,,96,110,,547,,2,,2,1,0,,,1,14,1,49,,
10163049,VWV,8560,355000,1,,2,,420,,50,,1,,4,1,0,,,,,,,,
9966859,BBR,1080,649000,1,7,6,,0,1979,,,2,,8,,0,,,,,,,50,
10163046,BBR,1080,260000,2,15,1,87,,,,4,,,2,1,0,,,2,,,,26,
9733304,WBR,1410,425000,2,19,2,185,,1950,156,3,2,,3,3,2,,,,60,,1,85,
10163045,VWV,8501,295000,1,,1,,139,,205,,1,,3,1,0,,1,,,,,,
10163043,VLI,3945,245000,1,,6,,524,,1001,,4,,4,1,0,,,,,,,,
10163040,VOV,9900,225000,1,,5,183,210,1935,716,,2,,4,1,0,,,,,,,,
10163037,BBR,1080,315000,2,19,2,130,,,291,4,2,,2,2,0,10,,1,46,,,22,
10163036,WLG,4450,154900,1,,6,115,0,,,,2,,5,2,2,12,,1,1529,1,,1,
10163033,WHT,6000,60000,2,,,,,,245,,,,2,1,0,,,1,1,1,,,
10163032,VAN,2350,105000,2,,,80,,1862,245,,4,,1,1,0,,,,1,1,,1,
10163031,WHT,7603,95000,1,,,131,180,,385,,2,,2,1,0,,,,12,,,,
10163030,WHT,7604,360000,1,,,210,2804,,241,,4,,3,2,0,,,,55,,,,
10163029,VWV,8020,385000,1,,1,195,330,1986,,,2,3,3,1,0,12,17,4,40,,206,47,
10163028,WBR,1350,270000,1,,2,116,150,,,,3,,3,1,1,14,41,,28,,40,20,
10163024,WLG,4102,85000,1,,6,90,197,1899,328,,2,,2,1,0,19,1,1,26,1,100,10,
10163021,VOV,9300,425010,2,,2,,,2022,,,3,,3,1,0,,,5,45,,,18,
10163018,BBR,1020,649000,1,,2,380,120,1909,,,2,,0,,0,,,,,,70,1,
10163012,BBR,1180,450000,2,,,100,,2022,5,4,2,,2,1,0,,,,43,,,10,
10163011,BBR,1030,215000,2,,,91,,,393,3,2,,2,1,0,9,,1,19,1,,,
10163010,VWV,8900,299000,2,,1,90,,,61,,,,2,1,0,,,,,,,,
10163008,VBR,1800,495000,1,,,144,386,1952,349,,4,,3,1,0,30,1,1,30,,386,45,
10163006,VWV,8800,308000,1,,,560,560,,431,,3,,2,1,1,,1,1,1,,420,20,
10163003,WHT,6020,119000,1,,1,,89,,421,,3,,2,1,0,,,1,1,1,,1,
10163002,WHT,7500,150000,1,,6,122,220,,568,,2,,3,,2,,,1,1,,,1,
10162999,WHT,7700,195000,1,,2,166,210,,273,,2,,3,,1,,1,,1,,,,
10162998,WBR,1300,495000,1,,,,0,,105,,,,4,,0,,,,,,,,
10162996,VOV,9820,299000,1,,,,725,,560,,,,3,,0,,,,,,,,
10162995,WHT,6120,60000,1,,,,0,,795,,,,3,,0,,,,,,,,
10162994,VBR,1860,300000,1,,,,0,,235,,,,3,,0,,,,,,,,
10162993,WNA,5590,293900,2,19,,124,,,,2,4,,2,1,0,6,,,40,,,7,
10162992,VWV,8930,849000,1,,1,,5193,,276,,1,,6,2,0,,1,1,,,,,
10162989,VLI,3700,242500,1,,4,112,62,,,,3,1,2,1,1,,1,,1,1,,20,
10162985,BBR,1090,125000,2,18,,35,,,,,1,,0,1,0,,,,20,,,7,
10162984,WLG,4970,650000,1,3,6,1125,19183,,460,,4,,16,3,0,,,1,,,,,
10162983,VOV,9473,185000,1,,6,,0,,,,3,,3,2,0,,,,,,70,,
10162981,VBR,1830,525000,1,,1,210,538,1994,221,,3,,3,2,0,,,1,,1,,,
10162979,BBR,1083,225000,2,,,92,,1969,253,21,,,2,1,1,10,,1,37,,,7,
10050495,VWV,8700,167500,1,,5,,120,,,,2,,3,1,0,,,,,,,1,
10031619,WLG,4950,295000,1,,1,125,456,1959,500,,3,,4,2,0,,1,1,30,1,,,
10162976,BBR,1050,460000,2,,4,,,,,,1,5,2,1,0,,,,,,,2,
10162974,VLI,3570,649000,1,11,1,284,984,1994,229,,4,,4,1,1,,,1,,,,,
10162973,WLX,6852,95000,1,2,6,,3627,1982,1669,,4,,1,1,0,,,,,,1,,
10162972,WHT,7100,320000,1,,1,,0,,480,,4,,5,2,0,16,1,30,61,,,,
10162971,VBR,3000,265000,1,,,,160,1963,631,,2,,3,1,0,,,,1,,,1,
10136187,BBR,1030,280000,2,,4,123,,1953,335,6,2,,2,1,1,12,,,34,,,,
10162970,WBR,1480,240000,2,,,,,,189,,,,2,,0,,,,,,,,
10162969,BBR,1070,240000,2,,2,77,,,237,8,2,,2,1,0,5,,1,32,,,8,
10162968,VOV,9300,425000,1,,1,225,226,,291,,2,,5,1,1,12,1,1,50,,96,1,
10162967,WHT,6200,199950,1,9,,185,0,,,,2,,3,,1,,,1,25,1,,25,
10162966,BBR,1070,600000,1,7,,332,0,1901,,,2,,6,,6,,,,23,,,,
10162965,WHT,6140,165000,2,,2,,,2013,78,,,,2,1,0,,,1,1,,,,
10162964,BBR,1070,110000,2,,,41,,1901,343,3,2,,1,,1,,,,23,,,4,
10162963,BBR,1070,110000,2,,,43,,1901,451,3,2,,1,,1,,,,23,,,,
10162962,BBR,1070,110000,2,,,35,,1901,387,3,2,,1,,1,,,,23,,,7,
10162961,BBR,1070,110000,2,,,41,,1901,324,3,2,,1,,1,,,,23,,,2,
10162960,BBR,1070,105000,2,,,42,,1901,612,3,2,,1,,1,,,,23,,,,
10162959,BBR,1070,120000,2,,,80,,1901,1256,3,2,,2,,1,,,,23,,,,
10073000,VOV,9150,469000,1,,1,171,1075,1978,272,,3,,3,1,0,,,,,,600,45,
10162951,VWV,8630,199000,2,,1,82,,1998,97,4,2,,2,1,0,,,,,,,1,
10162950,VWV,8400,260000,2,,2,108,,1996,157,5,2,,2,1,1,,,1,1,1,,1,
10162948,VAN,2070,199999,1,,5,,0,,,,2,2,3,1,0,12,,4,26,,18,,
10162946,VLI,3550,189000,1,,5,201,91,1969,670,,3,,2,1,0,,,,,,,1,
10135297,WHT,7190,220000,1,,,120,170,,542,,3,,2,1,0,13,43,1,34,,,40,
10162938,BBR,1060,250000,2,18,,51,,,,7,2,,0,,1,,,1,1,,,,
10162937,VBR,3200,210000,1,,,300,807,1979,346,,4,,3,1,0,,1,1,1,,,,
10162936,WLG,4020,270000,1,,5,195,103,,441,,2,,5,2,0,11,,1,18,1,,22,
10162935,WLG,4020,270000,1,7,5,195,103,,441,,2,,5,2,0,11,,1,18,1,,22,
10162934,VBR,1780,275000,1,,6,358,178,1935,724,,3,,5,1,0,,,1,1,1,,,
10162933,BBR,1070,310000,1,,,121,0,,732,,3,,3,1,0,20,,1,18,1,37,,
10013392,VWV,8720,345000,1,,1,193,721,1981,269,,4,,5,1,0,20,1,18,45,,1,20,
10162929,BBR,1070,499000,1,7,,200,0,1960,537,,2,,4,1,1,,,1,15,1,136,20,
10162926,VAN,2000,1280000,2,19,2,200,,,295,,,,3,2,0,,,1,,,,,
10162924,VAN,2870,468000,1,,,160,294,2022,,,3,,3,1,0,,,,28,,1,,
10162923,VAN,2000,609000,2,,2,127,,,,,,,3,3,0,,,,,,,8,
10162922,VAN,2000,1395000,2,19,2,164,,,,,,,3,2,0,,,,,,,76,
10162921,VAN,2000,665000,2,,2,140,,,,,,,3,3,0,,,,,,,8,
10162918,VAN,2000,589000,2,,2,120,,,,,,,2,2,0,,,,,,,15,
10162916,VAN,2000,599000,2,,2,124,,,,,,,2,2,0,,,,,,,15,
10162906,VWV,8670,285000,2,18,,53,,,,,,,0,,0,,,,,,,5,
10162905,WLG,4000,495000,2,,6,250,,1969,163,,3,,5,3,0,13,,1,78,1,,18,
10162898,VWV,8020,485000,1,,,823,823,1974,382,,4,,4,1,0,,1,1,1,,1,,
10162888,WHT,7100,250000,1,,5,135,0,,273,,3,,3,1,0,,,,,,,1,
10162887,WHT,7012,90000,1,8,6,,0,,615,,3,,0,,0,,,,,,,,
10162886,VOV,9830,398000,1,,6,110,667,1964,565,,4,,2,1,0,10,,,35,,200,,
10162884,VOV,9140,225000,1,8,1,81,0,2007,132,,2,,2,1,0,,,,,,,,
10162881,VBR,3000,195000,2,21,1,23,,,,4,2,,1,1,0,,,,,,,,
10162879,VAN,2830,465000,1,,6,,1076,1937,,,4,,4,1,0,,,,,,,,
10162874,VWV,8755,379000,1,,1,354,258,,262,,,,5,,0,51,1,1,40,,,1,
10162872,WLG,4560,239500,1,,1,175,483,,420,,2,,3,,1,19,,1,46,,300,15,
10162869,VBR,3010,225000,1,,,,260,1946,289,,2,,3,1,0,,1,1,1,1,,1,
10162868,VOV,9500,350000,1,,,,0,,,,4,,3,1,0,,,,,,,,
10162865,VBR,3010,315000,1,,,,265,1945,578,,2,,4,1,0,,,,1,1,,1,
10162864,VOV,9230,365000,2,19,,140,,2014,89,1,,,3,1,0,,,,1,1,,12,
10162858,BBR,1160,388000,1,,5,185,185,1909,466,,2,,2,1,0,10,,1,40,,,20,
10162854,WHT,7020,365000,1,,1,342,0,,267,,2,,2,1,0,,,,,,,1,
10162852,WHT,7020,365000,1,8,1,342,0,,267,,2,,0,1,0,,,,,,,1,
