ID,Type,SubType,Price,NetHabitableSurface(msq),BedroomCount,Province,Locality,Region,PostCode,Floor,RegionCode,BuildingCondition,ConstructionYear,FacadeCount,HasBalcony,HasGarden,KitchenType,Status
10153117,HOUSE,VILLA,595000.0,200.0,3.0,East Flanders,Ninove,Flanders,9400,2.0,FLANDERS,,2008.0,1.0,0.0,0.0,1,0
10153126,HOUSE,HOUSE,199000.0,103.0,3.0,Liège,Flémalle-Grande,Wallonie,4400,2.0,WALLONIE,JUST_RENOVATED,,3.0,0.0,1.0,0,0
10153129,HOUSE,HOUSE,139000.0,160.0,3.0,Hainaut,CHATELINEAU,Wallonie,6200,2.0,WALLONIE,TO_BE_DONE_UP,,2.0,0.0,0.0,2,0
10153131,HOUSE,HOUSE,299000.0,138.0,2.0,West Flanders,EERNEGEM,Flanders,8480,2.0,FLANDERS,,,4.0,0.0,0.0,1,0
10153136,HOUSE,MIXED_USE_BUILDING,199000.0,111.0,4.0,Liège,Liège,Wallonie,4020,2.0,WALLONIE,GOOD,,2.0,0.0,0.0,2,0
10153138,APARTMENT,APARTMENT,247000.0,108.0,2.0,Liège,Herstal,Wallonie,4040,2.0,WALLONIE,,,2.0,0.0,0.0,3,0
10153140,HOUSE,HOUSE,199000.0,121.0,4.0,Liège,MONTEGNÉE,Wallonie,4420,2.0,WALLONIE,TO_BE_DONE_UP,,2.0,0.0,1.0,2,0
10153141,HOUSE,HOUSE,250000.0,194.0,5.0,Liège,Seraing,Wallonie,4100,2.0,WALLONIE,JUST_RENOVATED,,2.0,0.0,1.0,2,0
10153142,HOUSE,HOUSE,199000.0,129.0,3.0,Liège,ENGIS,Wallonie,4480,2.0,WALLONIE,GOOD,,2.0,0.0,1.0,2,0
10153147,HOUSE,APARTMENT_BLOCK,199000.0,111.0,4.0,Liège,Liège,Wallonie,4020,2.0,WALLONIE,GOOD,,2.0,0.0,0.0,2,0
10153149,APARTMENT,GROUND_FLOOR,174900.0,75.0,2.0,Antwerp,Hoboken,Flanders,2660,2.0,FLANDERS,TO_BE_DONE_UP,,2.0,0.0,1.0,1,0
10153150,HOUSE,HOUSE,400000.0,137.0,2.0,Antwerp,Bonheiden,Flanders,2820,2.0,FLANDERS,GOOD,1956.0,4.0,0.0,0.0,1,0
10153153,APARTMENT,APARTMENT,205000.0,93.0,2.0,Liège,Liège,Wallonie,4020,1.0,WALLONIE,AS_NEW,,1.0,0.0,0.0,0,0
